Date,AAPL,MSFT,GOOG,TSLA,BTC-USD
2022-01-28,170.11326599121094,307.6239318847656,2665.7900390625,846.3499755859375,37784.33203125
2022-01-31,174.55760192871094,310.33831787109375,2713.969970703125,936.719970703125,38483.125
2022-02-01,174.3878173828125,308.1228942871094,2757.570068359375,931.25,38743.2734375
2022-02-02,175.6162567138672,312.81317138671875,2960.72998046875,905.6599731445312,36952.984375
2022-02-03,172.67999267578125,300.6283874511719,2853.010009765625,891.1400146484375,37154.6015625
2022-02-04,172.38999938964844,305.3087158203125,2860.320068359375,923.3200073242188,41500.875
2022-02-07,171.66000366210938,300.3290100097656,2778.760009765625,907.3400268554688,43840.28515625
2022-02-08,174.8300018310547,303.9315490722656,2784.260009765625,922.0,44118.4453125
2022-02-09,176.27999877929688,310.56781005859375,2829.06005859375,932.0,44338.796875
2022-02-10,172.1199951171875,301.7560729980469,2772.050048828125,904.5499877929688,43565.11328125
2022-02-11,168.63999938964844,294.43121337890625,2682.60009765625,860.0,42407.9375
2022-02-14,168.8800048828125,294.39129638671875,2706.0,875.760009765625,42586.91796875
2022-02-15,172.7899932861328,299.8500061035156,2728.510009765625,922.4299926757812,44575.203125
2022-02-16,172.5500030517578,299.5,2749.75,923.3900146484375,43961.859375
2022-02-17,168.8800048828125,290.7300109863281,2646.169921875,876.3499755859375,40538.01171875
2022-02-18,167.3000030517578,287.92999267578125,2609.35009765625,856.97998046875,40030.9765625
2022-02-22,164.32000732421875,287.7200012207031,2588.050048828125,821.530029296875,38286.02734375
2022-02-23,160.07000732421875,280.2699890136719,2551.699951171875,764.0399780273438,37296.5703125
2022-02-24,162.74000549316406,294.5899963378906,2653.469970703125,800.77001953125,38332.609375
2022-02-25,164.85000610351562,297.30999755859375,2690.389892578125,809.8699951171875,39214.21875
2022-02-28,165.1199951171875,298.7900085449219,2697.820068359375,870.4299926757812,43193.234375
2022-03-01,163.1999969482422,294.95001220703125,2683.360107421875,864.3699951171875,44354.63671875
2022-03-02,166.55999755859375,300.19000244140625,2695.030029296875,879.8900146484375,43924.1171875
2022-03-03,166.22999572753906,295.9200134277344,2686.159912109375,839.2899780273438,42451.7890625
2022-03-04,163.1699981689453,289.8599853515625,2642.43994140625,838.2899780273438,39137.60546875
2022-03-07,159.3000030517578,278.9100036621094,2529.2900390625,804.5800170898438,38062.0390625
2022-03-08,157.44000244140625,275.8500061035156,2545.570068359375,824.4000244140625,38737.26953125
2022-03-09,162.9499969482422,288.5,2677.320068359375,858.969970703125,41982.92578125
2022-03-10,158.52000427246094,285.5899963378906,2653.639892578125,838.2999877929688,39437.4609375
2022-03-11,154.72999572753906,280.07000732421875,2609.510009765625,795.3499755859375,38794.97265625
2022-03-14,150.6199951171875,276.44000244140625,2534.820068359375,766.3699951171875,39666.75390625
2022-03-15,155.08999633789062,287.1499938964844,2593.2099609375,801.8900146484375,39338.78515625
2022-03-16,159.58999633789062,294.3900146484375,2673.81005859375,840.22998046875,41143.9296875
2022-03-17,160.6199951171875,295.2200012207031,2692.010009765625,871.5999755859375,40951.37890625
2022-03-18,163.97999572753906,300.42999267578125,2736.030029296875,905.3900146484375,41801.15625
2022-03-21,165.3800048828125,299.1600036621094,2729.570068359375,921.1599731445312,41077.99609375
2022-03-22,168.82000732421875,304.05999755859375,2805.550048828125,993.97998046875,42358.80859375
2022-03-23,170.2100067138672,299.489990234375,2770.070068359375,999.1099853515625,42892.95703125
2022-03-24,174.07000732421875,304.1000061035156,2826.239990234375,1013.9199829101562,43960.93359375
2022-03-25,174.72000122070312,303.67999267578125,2830.429931640625,1010.6400146484375,44348.73046875
2022-03-28,175.60000610351562,310.70001220703125,2839.0,1091.8399658203125,47128.00390625
2022-03-29,178.9600067138672,315.4100036621094,2865.0,1099.5699462890625,47465.73046875
